[LOG]	epoch	train cost	valid. cost	alpha	beta	gamma	train error(recons_mse)	valid. error(recons_mse)	train cost(recons)	train cost(temporal)	train cost(pred)	train cost(potential)	valid. cost(recons)	valid. cost(temporal)	valid. cost(pred)	valid. cost(potential)
[LOG]	93	7.41137	7.41116	0.9	0.1	0.5	0.022115106	0.022529783	1.8157507	0.1156815	1.8086854	10.505509	1.8251617	0.119124696	1.8178585	10.478235
[LOG]	94	8.72023	9.1904	0.9	0.1	0.5	0.022094466	0.022539489	1.8153658	0.11590992	1.8091264	13.123685	1.8251048	0.11910545	1.8193283	14.036764
[LOG]	95	8.8115	9.53504	0.9	0.1	0.5	0.022057787	0.022593781	1.8144368	0.11858423	1.8093233	13.303432	1.8263047	0.123394966	1.821369	14.7156925
[LOG]	96	10.7301	11.5463	0.9	0.1	0.5	0.02208908	0.022684257	1.8150102	0.11944723	1.8091263	17.138067	1.8287216	0.11767356	1.8217229	18.743855
[LOG]	97	8.83362	6.58013	0.9	0.1	0.5	0.022123184	0.02248851	1.815821	0.11641188	1.8106675	13.348852	1.8241729	0.12035933	1.8192738	8.816327
[LOG]	98	10.7107	7.73835	0.9	0.1	0.5	0.022090783	0.022416532	1.8148978	0.117611796	1.8105834	17.102846	1.8220013	0.11521953	1.8196936	11.146512
[LOG]	99	8.53413	3.97893	0.9	0.1	0.5	0.022153208	0.02244731	1.8165463	0.11814495	1.8102604	12.745845	1.8229657	0.118401766	1.8199797	3.620204
[LOG]	100	8.77752	7.02289	0.9	0.1	0.5	0.022129433	0.02248958	1.8159946	0.115602836	1.8079373	13.239009	1.8241456	0.1202525	1.8176781	9.703125
[LOG]	101	8.68858	8.62325	0.9	0.1	0.5	0.022089124	0.022573505	1.8151097	0.11611179	1.8076727	13.062259	1.8261989	0.10884936	1.8195468	12.920116
[LOG]	102	7.44804	7.68969	0.9	0.1	0.5	0.02210346	0.022513693	1.8153266	0.11745513	1.8087693	10.578312	1.8248426	0.11616619	1.8206996	11.042501
[LOG]	103	8.5285	6.74557	0.9	0.1	0.5	0.022070456	0.022420878	1.8146753	0.11749588	1.8121524	12.740011	1.8223376	0.11358656	1.8229012	9.163708
[LOG]	104	6.40567	5.95482	0.9	0.1	0.5	0.022079235	0.022425441	1.8148522	0.117512204	1.8111371	8.494404	1.8224198	0.11846489	1.817235	7.574643
[LOG]	105	9.15833	6.96467	0.9	0.1	0.5	0.022106357	0.022468047	1.8153824	0.11779626	1.8122798	13.998161	1.8233202	0.115147516	1.8206912	9.598055
[LOG]	106	9.2444	6.5807	0.9	0.1	0.5	0.02205885	0.022468966	1.8143955	0.11678242	1.8108487	14.174624	1.823326	0.119674504	1.8212515	8.822062
[LOG]	107	6.0053	8.64506	0.9	0.1	0.5	0.022032233	0.022634184	1.8137916	0.11941558	1.8104727	7.693174	1.8273898	0.11982827	1.8238728	12.942069
[LOG]	108	7.60986	5.55861	0.9	0.1	0.5	0.02201867	0.02253042	1.8132275	0.11962121	1.8106444	10.90323	1.8248137	0.12104443	1.8202043	6.7730865
[LOG]	109	8.12917	4.87423	0.9	0.1	0.5	0.022050269	0.022559376	1.8140297	0.11959261	1.8104702	11.940529	1.8254508	0.11664037	1.8200846	5.4111958
[LOG]	110	7.21826	12.627	0.9	0.1	0.5	0.022018308	0.022368765	1.813253	0.11946147	1.8107446	10.120633	1.8211873	0.11756618	1.8172944	20.924288
[LOG]	111	7.71755	10.348	0.9	0.1	0.5	0.022020398	0.022458293	1.8134149	0.118836	1.811701	11.120045	1.8229706	0.117242955	1.8226447	16.362494
[LOG]	112	8.91236	6.53031	0.9	0.1	0.5	0.022001954	0.022413466	1.8130934	0.11622578	1.8099341	13.515594	1.8224602	0.119887486	1.8183663	8.724463
[LOG]	113	8.1918	3.74419	0.9	0.1	0.5	0.021955037	0.022519523	1.8117458	0.11768103	1.8108157	12.07461	1.8249589	0.11554569	1.8225306	3.154446
[LOG]	114	8.33977	12.2457	0.9	0.1	0.5	0.021988297	0.022378307	1.8127252	0.11961437	1.8152728	12.364474	1.8210602	0.11712078	1.8263824	20.162035
[LOG]	115	6.13505	8.14347	0.9	0.1	0.5	0.021992022	0.022375258	1.8126047	0.12060659	1.8131926	7.954185	1.8212053	0.11976548	1.8248898	11.952993
